event_time,total_revenue,trade_volume,avg_price,trade_count,buy_pressure,sell_pressure,revenue_growth_pct,volume_growth_pct,price_volatility,order_imbalance
2025-12-18 11:22:00,21700.5713834,0.24898,87157.86975,80,67,13,,,,54
2025-12-18 11:23:00,81530.0392778,0.93561,87146.2685,420,46,374,275.7045740287141,275.77717085709696,,-328
2025-12-18 11:44:00,153316.3721315,1.75935,87143.75637362637,182,116,66,,,,50
2025-12-18 11:45:00,259959.403719,2.98311,87143.75688679244,318,219,99,69.55749741849613,69.55750703384773,,120
2025-12-18 11:50:00,27934.7024825,0.32035,87200.10058,500,136,364,,,,-228
2025-12-18 11:51:00,72594.9537921,0.83273,87177.8230366492,382,82,300,40.994884743038206,40.99967828781386,,-218
2025-12-18 11:52:00,40190.8912626,0.46102,87182.21370000001,500,52,448,,,,-396
